variant,id,turnover,etv
Control,6960246,0.0,0.0
Target,1520720,30.0,6.432600021362305
Control,7648429,0.0,0.0
Target,5052465,1605.44,262.49759943038225
Control,5020003,0.0,0.0
Target,816689,0.0,0.0
Control,1563545,0.0,0.0
Control,4704288,0.0,0.0
Control,2532486,199.4,52.37499952316284
Target,7263407,0.0,0.0
Target,7510984,386.5201,60.64810059964657
Target,454886,92.0,15.796899914741516
Control,1414789,0.0,0.0
Target,6508836,163.06,3.1125002540647984
Control,336087,0.0,0.0
Control,4284050,700.0,-22.45190116763115
Control,2677228,0.0,0.0
Target,2333448,296.2,21.923600010573864
Control,551766,10.0,0.7587000131607056
Control,3034974,1.4286,0.4343000054359436
Target,5272996,85.3699,25.239999413490295
Control,7364538,645.98,45.12290027923882
Control,5382359,32.88,4.638999968767166
Control,2799664,5895.0,0.0
Target,5386942,0.0,0.0
Control,2234140,80.0,11.56149959564209
Control,2834756,182.0,40.48239982128143
Target,7164062,0.0,0.0
Target,4025590,156.6601,5.712499260902405
Target,7694519,65.06,8.472799874842167
Target,2008701,317.9999,41.34759998321533
Control,2227216,84.0,9.54369992017746
Target,8777464,594.9999,-11.725500106811523
Target,3071153,85.0,37.66520035266876
Target,2153439,0.0,0.0
Target,3894870,2.5,1.649500012397766
Target,5550173,0.0,0.0
Target,6904231,0.0,0.0
Control,284246,0.0,0.0
Control,635957,400.0,9.260898351669312
Control,2065755,800.0,134.80299997329712
Target,879391,1529.7898,208.24939684942365
Control,1776937,0.0,0.0
Control,3702570,0.0,0.0
Control,2834706,0.0,0.0
Control,1998172,1158.6668,-162.95549967885017
Control,8000003,174.0,5.851600196678191
Target,863476,25.0,9.259300231933594
Control,3514249,120.0,9.118799924850464
Target,775828,0.0,0.0
Target,1678489,0.0,0.0
Control,1859015,10.0,1.0525000095367432
Target,6404610,551.0002,28.813499838113785
Control,471981,75.0,-10.948801040649414
Control,1261610,0.0,0.0
Control,8172471,110.5,2.4491999596357346
Control,967271,107.0,11.260499835014343
Control,2304746,272.5,20.395999908447266
Target,5344316,99.0,4.865599989891052
Target,4951491,13.0,2.769399881362915
Control,7000231,0.0,0.0
Control,7203556,80.0,-12.039499759674072
Target,1578291,170.42,34.093199962284416
Control,3493578,0.0,0.0
Target,3727659,0.0,0.0
Target,5493158,110.0,37.20990037918091
Control,1824582,22.0,4.42110013961792
Target,7410151,199.75,12.513899207115172
Target,3681015,53.27,3.082299891859293
Target,4624090,53.92,6.074599742889404
Target,5363525,0.0,0.0
Control,1808690,0.0,0.0
Control,1666456,0.0,0.0
Target,3925756,0.0,0.0
Target,8229108,0.0,0.0
Target,2172475,69.0,10.84839990735054
Control,1585654,2099.8,182.68139971792695
Control,1104246,103.3332,13.20799994468689
Control,8242471,11.0,4.811399936676025
Control,1222987,694.7003,11.756601572036743
Control,1585618,0.0,0.0
